datetime,open,high,low,close,volume,vwap,returns,ticker
2025-04-25,206.3699951171875,209.75,206.1999969482422,209.27999877929688,38222300,208.40999857584634,,AAPL
2025-04-28,210.0,211.5,207.4600067138672,210.13999938964844,38743100,209.70000203450522,0.0041093301575299,AAPL
2025-04-29,208.69000244140625,212.24000549316406,208.3699951171875,211.2100067138672,36827600,210.6066691080729,0.005091878401668248,AAPL
2025-04-30,209.3000030517578,213.5800018310547,206.6699981689453,212.5,52286500,210.91666666666666,0.006107633374967891,AAPL
2025-05-01,209.0800018310547,214.55999755859375,208.89999389648438,213.32000732421875,57365700,212.25999959309897,0.0038588579963234615,AAPL
2025-05-02,206.08999633789062,206.99000549316406,202.16000366210938,205.35000610351562,101010600,204.83333841959634,-0.0373617145464924,AAPL
2025-05-05,203.10000610351562,204.10000610351562,198.2100067138672,198.88999938964844,69018500,200.4000040690104,-0.03145851727226512,AAPL
2025-05-06,198.2100067138672,200.64999389648438,197.02000427246094,198.50999450683594,51216500,198.7266642252604,-0.0019106284075551816,AAPL
2025-05-07,199.1699981689453,199.44000244140625,193.25,196.25,68536700,196.3133341471354,-0.011384789528862349,AAPL
2025-05-08,197.72000122070312,200.0500030517578,194.67999267578125,197.49000549316406,50478900,197.40666707356772,0.006318499328224592,AAPL
2025-05-09,199.0,200.5399932861328,197.5399932861328,198.52999877929688,36453900,198.8699951171875,0.0052660552797889615,AAPL
2025-05-12,210.97000122070312,211.27000427246094,206.75,210.7899932861328,63775800,209.60333251953125,0.06175386381009962,AAPL
2025-05-13,210.42999267578125,213.39999389648438,209.0,212.92999267578125,51909300,211.77666219075522,0.010152281691776288,AAPL
2025-05-14,212.42999267578125,213.94000244140625,210.5800018310547,212.3300018310547,49325800,212.28333536783853,-0.0028177845553216674,AAPL
2025-05-15,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,45029500,211.31666564941406,-0.004144515024837148,AAPL
2025-05-16,212.36000061035156,212.57000732421875,209.77000427246094,211.25999450683594,54737900,211.20000203450522,-0.0008985691376138805,AAPL
2025-05-19,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500,207.50666300455728,-0.011739069355408915,AAPL
2025-05-20,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600,206.7866668701172,-0.009196274452396014,AAPL
2025-05-21,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800,203.27999877929688,-0.02305909435553888,AAPL
