rank,alpha,sharpe,turnover,max_drawdown,ic,rank_ic,mean_return,volatility,n_obs
1,"ts_rank(ts_rank(ts_delta(open, 20), 20), 5)",1.4281,0.54,-0.166,0.1551,0.1451,0.001152,0.012802,187
2,"ts_rank(log(ts_rank(vwap, 5)), 5)",1.1612,0.5762,-0.1526,0.0962,0.0933,0.000802,0.010957,222
3,"rank(multiply(vwap, rank(open, 2)))",0.7838,0.6681,-0.0977,0.0183,0.0225,0.000549,0.011114,210
4,"rank(inverse(ts_rank(low, 60)))",0.6224,0.366,-0.1298,0.0161,0.0301,0.000477,0.012162,152
5,"ts_rank(ts_delta(volume, 10), 20)",-0.2535,0.6049,-0.154,0.0114,0.0044,-0.00017,0.010626,201
6,rank(abs(high)),-0.425,0.2627,-0.1918,0.0046,-0.0153,-0.000305,0.011399,211
